,post_title,post_view,comment_num,post_date,post_datetime,pos_num,neg_num,word_num,bullish_index,snownlp
0,还是当个观众轻松，发发感受就行,282,0,2025-04-19,2025-04-19 23:47:00,1,0,15,0.06666666666666667,0.9877526541270663
1,从形态走势上，马上就要自由落体了,336,3,2025-04-18,2025-04-18 22:23:00,0,0,16,0.0,0.9775784911105093
2,灵感的产生,215,0,2025-04-18,2025-04-18 20:41:00,1,0,5,0.2,0.764705882352941
3,搞毛线啊，每次都这么玩，看来以后不能在上午11点和下午两点以后放空单,185,0,2025-04-18,2025-04-18 16:35:00,0,1,34,-0.029411764705882353,0.050744803909636094
4,还是可惜了！,256,0,2025-04-18,2025-04-18 16:08:00,0,1,6,-0.16666666666666666,0.5798611111111113
5,这还了得，居然有人砸尾盘？砸出一根瀑布线，好好去查查到底谁砸的？,197,0,2025-04-18,2025-04-18 15:38:00,0,1,32,-0.03125,0.00010162104023458962
6,冒烟了，辛苦大兄弟了,188,0,2025-04-18,2025-04-18 14:56:00,0,0,10,0.0,0.6732986268298128
7,开工开工,156,0,2025-04-18,2025-04-18 14:47:00,0,0,4,0.0,0.9350851483655283
8,国家队想套利的行为把我信心打散了,212,1,2025-04-18,2025-04-18 14:35:00,1,0,16,0.0625,0.9472706281608814
9,国家队老想套利的行为把我信心打散了,164,0,2025-04-18,2025-04-18 14:34:00,1,0,17,0.058823529411764705,0.9510901993156031
10,两点半以后跳水，实在看不下去了真难看。,159,0,2025-04-18,2025-04-18 14:29:00,1,2,19,-0.05263157894736842,0.04216207586260923
11,什么，不死不活，天天硬拉一波。恶心啊,171,0,2025-04-18,2025-04-18 13:54:00,0,1,18,-0.05555555555555555,0.060069422466490274
12,硬砸到现在为空单站台，真是缺德到家,160,0,2025-04-18,2025-04-18 13:53:00,0,1,17,-0.058823529411764705,0.015517558689221
13,大盘都开始织布了,148,0,2025-04-18,2025-04-18 13:48:00,0,0,8,0.0,0.7568888937298522
14,“反向代购”兴起最近，海内外社交媒体被一条新闻刷屏了——美国人纷纷飞中国代购中国,190,1,2025-04-18,2025-04-18 13:47:00,1,0,40,0.025,0.9988292400078254
15,今年来内资主力近四个月净流出，3.8万亿！！！,150,0,2025-04-18,2025-04-18 12:09:00,0,0,23,0.0,0.13329657952574148
16,印度孟买Sensex五日狂飙6%，筑底完成？,3.7万,50,2025-04-18,2025-04-18 11:36:00,0,0,22,0.0,0.45458435384763785
17,妖股将在华贸了,122,2,2025-04-18,2025-04-18 10:51:00,0,0,7,0.0,0.8703731332027964
18,又给期货带下去割了正股。,113,2,2025-04-18,2025-04-18 10:27:00,0,0,12,0.0,0.23802899871714722
19,加油真的要红起来,90,2,2025-04-18,2025-04-18 09:56:00,1,0,8,0.125,0.5418616309462893
20,超短也要做大票啊，小票低开是大概率！！,44,2,2025-04-18,2025-04-18 09:20:00,0,1,19,-0.05263157894736842,0.15487642105254107
21,生意太难做了我的公司卖了,106,1,2025-04-18,2025-04-18 08:52:00,0,0,12,0.0,0.15256342116673627
22,从十五分钟和三十分钟技术指标看，今日容易出现高速下滑迹象，除非像昨天一样硬护等人,96,1,2025-04-18,2025-04-18 08:31:00,0,1,40,-0.025,0.9858407697271494
